symbol,companyName,industry
REGENCERAM,Regency Ceramics Limited,Ceramics
BLUECOAST,Blue Coast Hotels Limited,Hotels & Resorts
EUROTEXIND,Eurotex Industries and Exports Limited,Other Textile Products
SHEKHAWATI,Shekhawati Industries Limited,Other Textile Products
PANSARI,Pansari Developers Limited,Residential Commercial Projects
VLINFRA,V.L.Infraprojects Limited,Civil Construction
SHRIKRISH,Shri Krishna Devcon Limited,Residential Commercial Projects
DUGLOBAL,DUDIGITAL GLOBAL LIMITED,Tour Travel Related Services
ZODIAC,Zodiac Energy Limited,Civil Construction
DELPHIFX,DELPHI WORLD MONEY LIMITED,Other Financial Services
UNIENTER,Uniphos Enterprises Limited,Trading - Chemicals
DGCONTENT,Digicontent Limited,Advertising & Media Agencies
PRAENG,Prajay Engineers Syndicate Limited,Residential Commercial Projects
WILLAMAGOR,Williamson Magor & Company Limited,Investment Company
GILLANDERS,Gillanders Arbuthnot & Company Limited,Tea & Coffee
MASKINVEST,Mask Investments Limited,Investment Company
ONELIFECAP,Onelife Capital Advisors Limited,Stockbroking & Allied
AKCAPIT,AK Capital Services Limited,Non Banking Financial Company (NBFC)
COUNCODOS,Country Condo's Limited,Residential Commercial Projects
HMVL,Hindustan Media Ventures Limited,Print Media
SEJALLTD,Sejal Glass Limited,Glass - Industrial
AHLWEST,Asian Hotels (West) Limited,Hotels & Resorts
RSSOFTWARE,R. S. Software (India) Limited,Computers - Software & Consulting
JAINAM,Jainam Ferro Alloys (I) Limited,Ferro & Silica Manganese
OWAIS,Owais Metal And Mineral Processing Limited,Ferro & Silica Manganese
VIJIFIN,Viji Finance Limited,Non Banking Financial Company (NBFC)
PRECOT,Precot Limited,Other Textile Products
GANGABATH,Ganga Bath Fittings Limited,Sanitary Ware
ROLLT,Rollatainers Limited,Packaging
SVPGLOB,SVP GLOBAL TEXTILES LIMITED,Other Textile Products
SETUINFRA,Setubandhan Infrastructure Limited,Civil Construction
LRRPL,Lead Reclaim And Rubber Products Limited,Rubber
VISASTEEL,Visa Steel Limited,Ferro & Silica Manganese
TRU,TruCap Finance Limited,Non Banking Financial Company (NBFC)
KIRANVYPAR,Kiran Vyapar Limited,Non Banking Financial Company (NBFC)
SHRIKANHA,Shri Kanha Stainless Limited,Iron & Steel Products
JISLDVREQS,Jain Irrigation Systems Limited,Plastic Products - Industrial
UMESLTD,Usha Martin Education & Solutions Limited,E-Learning
ANIKINDS,Anik Industries Limited,Trading & Distributors
SICALLOG,Sical Logistics Limited,Logistics Solution Provider
SAMBHAAV,Sambhaav Media Limited,Electronic Media
RVHL,Ravinder Heights Limited,Residential Commercial Projects
