symbol,companyName,industry,isin,sector,basic_industry
REGENCERAM,Regency Ceramics Limited,Ceramics,INE277C01012,,
AHCL,Anlon Healthcare Limited,Pharmaceuticals,INE0Y8W01025,Healthcare,Pharmaceuticals
BLUECOAST,Blue Coast Hotels Limited,Hotels & Resorts,INE472B01011,,
EUROTEXIND,Eurotex Industries and Exports Limited,Other Textile Products,INE022C01012,,
BI,Bilcare Limited,Healthcare Research Analytics & Technology,INE986A01012,Healthcare,Medical Equipment & Supplies
SHEKHAWATI,Shekhawati Industries Limited,Other Textile Products,INE268L01046,,
PANSARI,Pansari Developers Limited,Residential Commercial Projects,INE697V01011,,
VLINFRA,V.L.Infraprojects Limited,Civil Construction,INE0QXL01015,,
SHRIKRISH,Shri Krishna Devcon Limited,Residential Commercial Projects,INE997I01012,,
DUGLOBAL,DUDIGITAL GLOBAL LIMITED,Tour Travel Related Services,INE0HPK01020,,
ZODIAC,Zodiac Energy Limited,Civil Construction,INE761Y01019,,
DELPHIFX,DELPHI WORLD MONEY LIMITED,Other Financial Services,INE726L01027,,
UNIENTER,Uniphos Enterprises Limited,Trading - Chemicals,INE037A01022,,
DGCONTENT,Digicontent Limited,Advertising & Media Agencies,INE03JI01017,,
PRAENG,Prajay Engineers Syndicate Limited,Residential Commercial Projects,INE505C01016,,
WILLAMAGOR,Williamson Magor & Company Limited,Investment Company,INE210A01017,,
ATULAUTO,Atul Auto Limited,Commercial Vehicles,INE951D01028,Capital Goods,Tractors
GILLANDERS,Gillanders Arbuthnot & Company Limited,Tea & Coffee,INE047B01011,,
MASKINVEST,Mask Investments Limited,Investment Company,INE885F01015,,
ONELIFECAP,Onelife Capital Advisors Limited,Stockbroking & Allied,INE912L01015,,
AKCAPIT,AK Capital Services Limited,Non Banking Financial Company (NBFC),INE701G01012,,
COUNCODOS,Country Condo's Limited,Residential Commercial Projects,INE695B01025,,
HMVL,Hindustan Media Ventures Limited,Print Media,INE871K01015,,
KOTIC,Kothari Industrial Corporation Limited,Fertilizers,INE972A01020,Chemicals,Fertilizers
PRESSTONIC,Presstonic Engineering Limited,Industrial Products,INE0R1601012,Capital Goods,Cables - Electricals
PRESSTONIC,Presstonic Engineering Limited,Industrial Products,INE0R1601012,Capital Goods,Castings & Forgings
PRESSTONIC,Presstonic Engineering Limited,Industrial Products,INE0R1601012,Capital Goods,Packaging
PRESSTONIC,Presstonic Engineering Limited,Industrial Products,INE0R1601012,Capital Goods,Plastic Products - Industrial
PRESSTONIC,Presstonic Engineering Limited,Industrial Products,INE0R1601012,Capital Goods,Rubber
PRESSTONIC,Presstonic Engineering Limited,Industrial Products,INE0R1601012,Capital Goods,Other Industrial Products
PRESSTONIC,Presstonic Engineering Limited,Industrial Products,INE0R1601012,Capital Goods,Glass - Industrial
PRESSTONIC,Presstonic Engineering Limited,Industrial Products,INE0R1601012,Capital Goods,"Aluminium, Copper & Zinc Products"
PRESSTONIC,Presstonic Engineering Limited,Industrial Products,INE0R1601012,Capital Goods,Iron & Steel Products
