symbol,company_name,sector,industry,exchange
AGROPHOS.NS,Agro Phos (India) Limited,Basic Materials,Agricultural Inputs,NSE
ARIES.NS,Aries Agro Limited,Basic Materials,Agricultural Inputs,NSE
ASTEC.NS,Astec LifeSciences Limited,Basic Materials,Agricultural Inputs,NSE
BABAFP.NS,Baba Food Processing (India) Ltd.,Basic Materials,Agricultural Inputs,NSE
BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,NSE
BESTAGRO.NS,Best Agrolife Limited,Basic Materials,Agricultural Inputs,NSE
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,Basic Materials,Agricultural Inputs,NSE
BHARATRAS.NS,Bharat Rasayan Limited,Basic Materials,Agricultural Inputs,NSE
BOHRAIND.NS,Bohra Industries Limited,Basic Materials,Agricultural Inputs,NSE
BSHSL.NS,Bombay Super Hybrid Seeds Limited,Basic Materials,Agricultural Inputs,NSE
CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited,Basic Materials,Agricultural Inputs,NSE
CLSL.NS,Crop Life Science Ltd.,Basic Materials,Agricultural Inputs,NSE
COROMANDEL.NS,Coromandel International Limited,Basic Materials,Agricultural Inputs,NSE
DHANUKA.NS,Dhanuka Agritech Limited,Basic Materials,Agricultural Inputs,NSE
DHARMAJ.NS,Dharmaj Crop Guard Limited,Basic Materials,Agricultural Inputs,NSE
DOLLEX.NS,Dollex Agrotech Ltd.,Basic Materials,Agricultural Inputs,NSE
EIDPARRY.NS,E.I.D.- Parry (India) Limited,Basic Materials,Agricultural Inputs,NSE
EQUIPPP.NS,Equippp Social Impact Technologies Limited,Basic Materials,Agricultural Inputs,NSE
FACT.NS,The Fertilisers And Chemicals Travancore Limited,Basic Materials,Agricultural Inputs,NSE
GSFC.NS,Gujarat State Fertilizers & Chemicals Limited,Basic Materials,Agricultural Inputs,NSE
HERANBA.NS,Heranba Industries Limited,Basic Materials,Agricultural Inputs,NSE
HOACFOODS.NS,Hoac Foods India Ltd.,Basic Materials,Agricultural Inputs,NSE
IGCL.NS,Indogulf Cropsciences Ltd.,Basic Materials,Agricultural Inputs,NSE
INDOUS.NS,Indo Us Bio-Tech Ltd.,Basic Materials,Agricultural Inputs,NSE
INSECTICID.NS,Insecticides (India) Limited,Basic Materials,Agricultural Inputs,NSE
IPL.NS,India Pesticides Limited,Basic Materials,Agricultural Inputs,NSE
KCK.NS,Kck Industries Ltd.,Basic Materials,Agricultural Inputs,NSE
KHAICHEM.NS,Khaitan Chemicals and Fertilizers Limited,Basic Materials,Agricultural Inputs,NSE
KNAGRI.NS,KN Agri Resources Ltd.,Basic Materials,Agricultural Inputs,NSE
KRISHANA.NS,Krishana Phoschem Limited,Basic Materials,Agricultural Inputs,NSE
KSCL.NS,Kaveri Seed Company Limited,Basic Materials,Agricultural Inputs,NSE
MADRASFERT.NS,Madras Fertilizers Limited,Basic Materials,Agricultural Inputs,NSE
MBAPL.NS,Madhya Bharat Agro Products Limited,Basic Materials,Agricultural Inputs,NSE
