Symbol,Company Name,Industry,market_cap
ACMESOLAR,ACME Solar Holdings Ltd.,Power,Smallcap
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,Smallcap
AARTIIND,Aarti Industries Ltd.,Chemicals,Smallcap
AAVAS,Aavas Financiers Ltd.,Financial Services,Smallcap
ACE,Action Construction Equipment Ltd.,Capital Goods,Smallcap
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,Smallcap
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,Smallcap
ABREL,Aditya Birla Real Estate Ltd.,Forest Materials,Smallcap
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,Smallcap
ADVENTHTL,Advent Hotels International Ltd.,Consumer Services,Smallcap
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,Smallcap
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,Smallcap
AFCONS,Afcons Infrastructure Ltd.,Construction,Smallcap
AFFLE,Affle 3i Ltd.,Information Technology,Smallcap
AKUMS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,Smallcap
AKZOINDIA,Akzo Nobel India Ltd.,Consumer Durables,Smallcap
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare,Smallcap
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,Smallcap
ALOKINDS,Alok Industries Ltd.,Textiles,Smallcap
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,Smallcap
AMBER,Amber Enterprises India Ltd.,Consumer Durables,Smallcap
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,Smallcap
ANANTRAJ,Anant Raj Ltd.,Realty,Smallcap
ANGELONE,Angel One Ltd.,Financial Services,Smallcap
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,Smallcap
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,Smallcap
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,Smallcap
ASTRAZEN,AstraZenca Pharma India Ltd.,Healthcare,Smallcap
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,Smallcap
ATUL,Atul Ltd.,Chemicals,Smallcap
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,Smallcap
BASF,BASF India Ltd.,Chemicals,Smallcap
BEML,BEML Ltd.,Capital Goods,Smallcap
BLS,BLS International Services Ltd.,Consumer Services,Smallcap
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,Smallcap
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,Smallcap
BATAINDIA,Bata India Ltd.,Consumer Durables,Smallcap
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,Smallcap
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,Smallcap
BSOFT,Birlasoft Ltd.,Information Technology,Smallcap
BLUEDART,Blue Dart Express Ltd.,Services,Smallcap
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,Smallcap
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,Smallcap
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,Smallcap
BRIGADE,Brigade Enterprises Ltd.,Realty,Smallcap
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,Smallcap
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,Smallcap
CESC,CESC Ltd.,Power,Smallcap
CAMPUS,Campus Activewear Ltd.,Consumer Durables,Smallcap
CANFINHOME,Can Fin Homes Ltd.,Financial Services,Smallcap
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,Smallcap
CGCL,Capri Global Capital Ltd.,Financial Services,Smallcap
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,Smallcap
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,Smallcap
CEATLTD,Ceat Ltd.,Automobile and Auto Components,Smallcap
CENTRALBK,Central Bank of India,Financial Services,Smallcap
CDSL,Central Depository Services (India) Ltd.,Financial Services,Smallcap
CENTURYPLY,Century Plyboards (India) Ltd.,Consumer Durables,Smallcap
CERA,Cera Sanitaryware Ltd,Consumer Durables,Smallcap
CHALET,Chalet Hotels Ltd.,Consumer Services,Smallcap
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,Smallcap
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Smallcap
CHOICEIN,Choice International Ltd.,Financial Services,Smallcap
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,Smallcap
CUB,City Union Bank Ltd.,Financial Services,Smallcap
CLEAN,Clean Science and Technology Ltd.,Chemicals,Smallcap
COHANCE,Cohance Lifesciences Ltd.,Healthcare,Smallcap
CAMS,Computer Age Management Services Ltd.,Financial Services,Smallcap
CONCORDBIO,Concord Biotech Ltd.,Healthcare,Smallcap
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,Smallcap
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,Smallcap
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Smallcap
CYIENT,Cyient Ltd.,Information Technology,Smallcap
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,Smallcap
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,Smallcap
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,Smallcap
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,Smallcap
DELHIVERY,Delhivery Ltd.,Services,Smallcap
DEVYANI,Devyani International Ltd.,Consumer Services,Smallcap
AGARWALEYE,Dr. Agarwal's Health Care Ltd.,Healthcare,Smallcap
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,Smallcap
DUMMYSKFIN,Dummy SKF India Ltd.,Capital Goods,Smallcap
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,Smallcap
EIHOTEL,EIH Ltd.,Consumer Services,Smallcap
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,Smallcap
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,Smallcap
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,Smallcap
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,Smallcap
ENGINERSIN,Engineers India Ltd.,Construction,Smallcap
ERIS,Eris Lifesciences Ltd.,Healthcare,Smallcap
FINCABLES,Finolex Cables Ltd.,Capital Goods,Smallcap
FINPIPE,Finolex Industries Ltd.,Capital Goods,Smallcap
FSL,Firstsource Solutions Ltd.,Services,Smallcap
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,Smallcap
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,Smallcap
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,Smallcap
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,Smallcap
GLAND,Gland Pharma Ltd.,Healthcare,Smallcap
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,Smallcap
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,Smallcap
GODREJAGRO,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,Smallcap
GRANULES,Granules India Ltd.,Healthcare,Smallcap
GRAPHITE,Graphite India Ltd.,Capital Goods,Smallcap
GRAVITA,Gravita India Ltd.,Metals & Mining,Smallcap
GESHIP,Great Eastern Shipping Co. Ltd.,Services,Smallcap
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,Smallcap
GSPL,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,Smallcap
HEG,H.E.G. Ltd.,Capital Goods,Smallcap
HBLENGINE,HBL Engineering Ltd.,Capital Goods,Smallcap
HFCL,HFCL Ltd.,Telecommunication,Smallcap
HAPPSTMNDS,Happiest Minds Technologies Ltd.,Information Technology,Smallcap
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,Smallcap
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,Smallcap
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,Smallcap
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,Smallcap
IFCI,IFCI Ltd.,Financial Services,Smallcap
IIFL,IIFL Finance Ltd.,Financial Services,Smallcap
INOXINDIA,INOX India Ltd.,Capital Goods,Smallcap
IRCON,IRCON International Ltd.,Construction,Smallcap
ITI,ITI Ltd.,Telecommunication,Smallcap
INDGN,Indegene Ltd.,Healthcare,Smallcap
INDIACEM,India Cements Ltd.,Construction Materials,Smallcap
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,Smallcap
IEX,Indian Energy Exchange Ltd.,Financial Services,Smallcap
INOXWIND,Inox Wind Ltd.,Capital Goods,Smallcap
INTELLECT,Intellect Design Arena Ltd.,Information Technology,Smallcap
IGIL,International Gemmological Institute (India) Ltd.,Services,Smallcap
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,Smallcap
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,Smallcap
JBMA,JBM Auto Ltd.,Automobile and Auto Components,Smallcap
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,Smallcap
JMFINANCIL,JM Financial Ltd.,Financial Services,Smallcap
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,Smallcap
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,Smallcap
JINDALSAW,Jindal Saw Ltd.,Capital Goods,Smallcap
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,Smallcap
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,Smallcap
JWL,Jupiter Wagons Ltd.,Capital Goods,Smallcap
JYOTHYLAB,Jyothy Labs Ltd.,Fast Moving Consumer Goods,Smallcap
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,Smallcap
KSB,KSB Ltd.,Capital Goods,Smallcap
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,Smallcap
KPIL,Kalpataru Projects International Ltd.,Construction,Smallcap
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,Smallcap
KAYNES,Kaynes Technology India Ltd.,Capital Goods,Smallcap
KEC,Kec International Ltd.,Construction,Smallcap
KFINTECH,Kfin Technologies Ltd.,Financial Services,Smallcap
KIRLOSBROS,Kirloskar Brothers Ltd.,Capital Goods,Smallcap
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,Smallcap
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,Smallcap
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,Smallcap
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,Smallcap
LAURUSLABS,Laurus Labs Ltd.,Healthcare,Smallcap
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,Smallcap
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,Smallcap
MMTC,MMTC Ltd.,Services,Smallcap
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,Smallcap
MAHSCOOTER,Maharashtra Scooters Ltd.,Financial Services,Smallcap
MAHSEAMLES,Maharashtra Seamless Ltd.,Capital Goods,Smallcap
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,Smallcap
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,Smallcap
METROPOLIS,Metropolis Healthcare Ltd.,Healthcare,Smallcap
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,Smallcap
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,Smallcap
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,Smallcap
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,Smallcap
NBCC,NBCC (India) Ltd.,Construction,Smallcap
NCC,NCC Ltd.,Construction,Smallcap
NSLNISP,NMDC Steel Ltd.,Metals & Mining,Smallcap
NH,Narayana Hrudayalaya Ltd.,Healthcare,Smallcap
NAVA,Nava Ltd.,Power,Smallcap
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,Smallcap
NETWEB,Netweb Technologies India Ltd.,Information Technology,Smallcap
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,Smallcap
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,Smallcap
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,Smallcap
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,Smallcap
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,Smallcap
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,Smallcap
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,Smallcap
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,Smallcap
PCBL,PCBL Chemical Ltd.,Chemicals,Smallcap
PGEL,PG Electroplast Ltd.,Consumer Durables,Smallcap
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,Smallcap
PTCIL,PTC Industries Ltd.,Capital Goods,Smallcap
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,Smallcap
PFIZER,Pfizer Ltd.,Healthcare,Smallcap
